index,a1,intercept,shape,scale,penalty,score
392,0.03,100,1,0.2,14128.36183,0.000995781
57,0.001,300,1,0.4,14146.92347,0.000969974
350,0.01,1000,1,0.2,14154.49845,0.000959644
261,0.01,100,0.5,0.6,14154.7178,0.000959347
387,0.03,100,0.5,0.6,14159.67577,0.000952651
135,0.003,100,0.5,0.6,14179.33204,0.000926583
9,0.001,100,0.5,0.6,14186.94695,0.000916687
388,0.03,100,0.5,0.8,14203.45928,0.000895607
393,0.03,100,1,0.4,14241.36916,0.000849112
178,0.003,300,0.5,0.8,14258.42436,0.000829028
267,0.01,100,1,0.4,14311.62641,0.00076952
52,0.001,300,0.5,0.8,14312.0799,0.000769033
262,0.01,100,0.5,0.8,14312.53236,0.000768547
15,0.001,100,1,0.4,14316.31256,0.000764498
141,0.003,100,1,0.4,14327.72832,0.000752408
389,0.03,100,0.5,1,14333.50202,0.000746369
136,0.003,100,0.5,0.8,14377.28262,0.000702205
10,0.001,100,0.5,0.8,14516.75883,0.000578904
263,0.01,100,0.5,1,14683.68657,0.000460572
394,0.03,100,1,0.6,14700.41174,0.000450205
11,0.001,100,0.5,1,14756.70217,0.000417075
431,0.03,300,0.5,1,14759.80778,0.000415323
137,0.003,100,0.5,1,14767.23478,0.000411165
436,0.03,300,1,0.6,15056.26512,0.000279033
268,0.01,100,1,0.6,15256.90065,0.000214128
400,0.03,100,2,0.4,15331.02965,0.000194345
142,0.003,100,1,0.6,15357.32513,0.000187797
16,0.001,100,1,0.6,15428.14989,0.000171286
395,0.03,100,1,0.8,15475.16741,0.000161173
442,0.03,300,2,0.4,15674.07003,0.000124843
305,0.01,300,0.5,1,15817.71895,0.000104021
322,0.01,300,5,0.2,15842.5365,0.00010081
341,0.01,1000,0.1,2,15844.96522,0.000100502
196,0.003,300,5,0.2,15900.99286,9.37E-05
316,0.01,300,2,0.4,15938.04807,8.94E-05
179,0.003,300,0.5,1,15992.95656,8.34E-05
53,0.001,300,0.5,1,16021.39508,8.05E-05
344,0.01,1000,0.5,0.4,16044.90033,7.82E-05
64,0.001,300,2,0.4,16100.65716,7.30E-05
406,0.03,100,5,0.2,16105.68822,7.25E-05
70,0.001,300,5,0.2,16172.67357,6.67E-05
190,0.003,300,2,0.4,16179.98276,6.61E-05
310,0.01,300,1,0.6,16202.50009,6.43E-05
58,0.001,300,1,0.6,16218.28017,6.31E-05
184,0.003,300,1,0.6,16253.8391,6.04E-05
390,0.03,100,0.5,2,16263.75127,5.96E-05
396,0.03,100,1,1,16317.41303,5.58E-05
437,0.03,300,1,0.8,16365.06426,5.27E-05
218,0.003,1000,0.5,0.4,16370.16412,5.24E-05
92,0.001,1000,0.5,0.4,16416.69276,4.95E-05
203,0.003,300,7,0.2,16420.90335,4.92E-05
89,0.001,1000,0.1,2,16438.70997,4.82E-05
215,0.003,1000,0.1,2,16445.36314,4.78E-05
280,0.01,100,5,0.2,16469.80618,4.64E-05
154,0.003,100,5,0.2,16512.62191,4.40E-05
28,0.001,100,5,0.2,16562.74612,4.14E-05
185,0.003,300,1,0.8,16565.97465,4.13E-05
329,0.01,300,7,0.2,16588.85263,4.01E-05
269,0.01,100,1,0.8,16591.89801,4.00E-05
312,0.01,300,1,1,16640.72609,3.77E-05
311,0.01,300,1,0.8,16645.50341,3.75E-05
357,0.01,1000,2,0.2,16664.96044,3.66E-05
274,0.01,100,2,0.4,16708.31729,3.48E-05
65,0.001,300,2,0.6,16741.39711,3.34E-05
413,0.03,100,7,0.2,16755.50712,3.29E-05
443,0.03,300,2,0.6,16756.50995,3.28E-05
438,0.03,300,1,1,16773.60856,3.22E-05
77,0.001,300,7,0.2,16778.89809,3.20E-05
59,0.001,300,1,0.8,16786.13177,3.17E-05
191,0.003,300,2,0.6,16799.37833,3.12E-05
287,0.01,100,7,0.2,16800.27427,3.12E-05
105,0.001,1000,2,0.2,16832.0136,3.00E-05
231,0.003,1000,2,0.2,16853.47724,2.93E-05
317,0.01,300,2,0.6,16894.24681,2.79E-05
306,0.01,300,0.5,2,16938.06812,2.65E-05
148,0.003,100,2,0.4,16954.98424,2.59E-05
444,0.03,300,2,0.8,16973.97973,2.54E-05
22,0.001,100,2,0.4,16976.8889,2.53E-05
186,0.003,300,1,1,16986.9774,2.50E-05
445,0.03,300,2,1,16991.79095,2.48E-05
180,0.003,300,0.5,2,17047.26237,2.33E-05
351,0.01,1000,1,0.4,17060.2452,2.29E-05
60,0.001,300,1,1,17097.77784,2.19E-05
318,0.01,300,2,0.8,17103.30507,2.18E-05
143,0.003,100,1,0.8,17109.77579,2.16E-05
264,0.01,100,0.5,2,17113.48416,2.15E-05
432,0.03,300,0.5,2,17130.94143,2.11E-05
323,0.01,300,5,0.4,17135.35835,2.10E-05
161,0.003,100,7,0.2,17138.25752,2.09E-05
17,0.001,100,1,0.8,17143.69851,2.08E-05
71,0.001,300,5,0.4,17153.58967,2.06E-05
66,0.001,300,2,0.8,17172.15632,2.01E-05
401,0.03,100,2,0.6,17187.73826,1.98E-05
364,0.01,1000,5,0.2,17248.611,1.84E-05
35,0.001,100,7,0.2,17250.79418,1.84E-05
319,0.01,300,2,1,17251.62589,1.83E-05
192,0.003,300,2,0.8,17253.37104,1.83E-05
345,0.01,1000,0.5,0.6,17264.09216,1.81E-05
93,0.001,1000,0.5,0.6,17266.02349,1.80E-05
197,0.003,300,5,0.4,17266.52805,1.80E-05
270,0.01,100,1,1,17287.06471,1.76E-05
238,0.003,1000,5,0.2,17357.47521,1.62E-05
219,0.003,1000,0.5,0.6,17370.06615,1.60E-05
275,0.01,100,2,0.6,17381.01039,1.58E-05
138,0.003,100,0.5,2,17395.79709,1.55E-05
330,0.01,300,7,0.4,17399.62057,1.55E-05
54,0.001,300,0.5,2,17432.0173,1.49E-05
439,0.03,300,1,2,17438.159,1.48E-05
12,0.001,100,0.5,2,17473.21256,1.42E-05
193,0.003,300,2,1,17499.47497,1.38E-05
144,0.003,100,1,1,17511.95931,1.36E-05
225,0.003,1000,1,0.4,17545.0345,1.31E-05
99,0.001,1000,1,0.4,17554.69613,1.29E-05
112,0.001,1000,5,0.2,17561.88484,1.28E-05
149,0.003,100,2,0.6,17608.90316,1.22E-05
78,0.001,300,7,0.4,17628.77471,1.19E-05
67,0.001,300,2,1,17642.40683,1.17E-05
23,0.001,100,2,0.6,17649.8536,1.16E-05
402,0.03,100,2,0.8,17665.26248,1.14E-05
106,0.001,1000,2,0.4,17697.84357,1.10E-05
346,0.01,1000,0.5,0.8,17711.0358,1.08E-05
358,0.01,1000,2,0.4,17729.89253,1.06E-05
18,0.001,100,1,1,17736.17587,1.05E-05
232,0.003,1000,2,0.4,17766.39112,1.02E-05
324,0.01,300,5,0.6,17770.37261,1.01E-05
204,0.003,300,7,0.4,17776.57156,1.01E-05
313,0.01,300,1,2,17850.64211,9.27E-06
61,0.001,300,1,2,17856.90369,9.20E-06
198,0.003,300,5,0.6,17897.28761,8.80E-06
119,0.001,1000,7,0.2,17922.19018,8.55E-06
187,0.003,300,1,2,17952.21123,8.27E-06
220,0.003,1000,0.5,0.8,17961.61347,8.19E-06
72,0.001,300,5,0.6,17973.16509,8.08E-06
371,0.01,1000,7,0.2,18017.24919,7.70E-06
94,0.001,1000,0.5,0.8,18019.15201,7.68E-06
325,0.01,300,5,0.8,18021.90965,7.66E-06
331,0.01,300,7,0.6,18044.11744,7.47E-06
216,0.003,1000,0.1,5,18045.52837,7.46E-06
433,0.03,300,0.5,5,18048.84322,7.43E-06
