index,a1,intercept,shape,scale,penalty,score
129,0.003,100,0.1,0.8,13333.88549,0.003168587
255,0.01,100,0.1,0.8,13339.23974,0.003143246
380,0.03,100,0.1,0.6,13341.30191,0.003133544
257,0.01,100,0.1,2,13344.17609,0.003120073
131,0.003,100,0.1,2,13349.68274,0.003094433
256,0.01,100,0.1,1,13354.94322,0.003070146
382,0.03,100,0.1,1,13363.07042,0.003033017
133,0.003,100,0.5,0.2,13368.46225,0.003008645
7,0.001,100,0.5,0.2,13369.28742,0.003004933
182,0.003,300,1,0.2,13372.71722,0.002989557
383,0.03,100,0.1,2,13374.35586,0.002982239
338,0.01,1000,0.1,0.6,13379.33376,0.002960126
717,0.3,1000,0.1,0.8,13393.48309,0.002898207
5,0.001,100,0.1,2,13398.89969,0.002874864
721,0.3,1000,0.5,0.2,13402.95472,0.002857518
385,0.03,100,0.5,0.2,13405.39291,0.002847141
465,0.03,1000,0.1,0.8,13409.6596,0.002829078
259,0.01,100,0.5,0.2,13413.42547,0.002813235
718,0.3,1000,0.1,1,13423.75751,0.002770244
173,0.003,300,0.1,2,13503.70917,0.002460019
441,0.03,300,2,0.2,13507.80451,0.002445145
429,0.03,300,0.5,0.6,13552.68864,0.002288183
384,0.03,100,0.1,5,13570.0257,0.00223042
258,0.01,100,0.1,5,13591.95985,0.002159526
6,0.001,100,0.1,5,13633.73123,0.002030979
809,1,300,0.5,1,13648.02316,0.001988864
132,0.003,100,0.1,5,13655.09751,0.001968357
505,0.1,100,0.1,0.4,13680.40284,0.001896803
426,0.03,300,0.1,5,13690.24822,0.001869707
504,0.1,100,0.1,0.2,13701.53073,0.001839155
212,0.003,1000,0.1,0.6,13702.77995,0.001835804
466,0.03,1000,0.1,1,13710.1098,0.001816274
506,0.1,100,0.1,0.6,13722.10086,0.001784793
508,0.1,100,0.1,1,13750.67525,0.001712062
507,0.1,100,0.1,0.8,13751.73067,0.001709436
217,0.003,1000,0.5,0.2,13766.20449,0.001673847
87,0.001,1000,0.1,0.8,13768.76322,0.001667636
509,0.1,100,0.1,2,13775.61736,0.00165112
511,0.1,100,0.5,0.2,13777.20249,0.001647325
683,0.3,300,0.5,1,13779.10721,0.001642776
176,0.003,300,0.5,0.4,13782.03801,0.001635804
47,0.001,300,0.1,2,13788.55989,0.001620398
213,0.003,1000,0.1,0.8,13790.88613,0.001614941
303,0.01,300,0.5,0.6,13794.8001,0.001605801
343,0.01,1000,0.5,0.2,13797.14668,0.001600348
86,0.001,1000,0.1,0.6,13799.41244,0.001595101
848,1,1000,0.5,0.4,13808.35352,0.00157457
339,0.01,1000,0.1,0.8,13848.4566,0.001485842
88,0.001,1000,0.1,1,13849.08461,0.001484495
50,0.001,300,0.5,0.4,13855.5232,0.001470759
476,0.03,1000,1,0.2,13856.78125,0.00146809
91,0.001,1000,0.5,0.2,13868.73454,0.00144299
315,0.01,300,2,0.2,13869.00074,0.001442436
63,0.001,300,2,0.2,13881.11708,0.001417463
214,0.003,1000,0.1,1,13888.27903,0.001402915
435,0.03,300,1,0.4,13891.14869,0.00139713
21,0.001,100,2,0.2,13893.86395,0.001391679
399,0.03,100,2,0.2,13896.26844,0.001386871
51,0.001,300,0.5,0.6,13910.53878,0.001358692
300,0.01,300,0.1,5,13914.88193,0.001350235
273,0.01,100,2,0.2,13916.3222,0.001347443
309,0.01,300,1,0.4,13917.91222,0.001344368
174,0.003,300,0.1,5,13923.2497,0.001334098
430,0.03,300,0.5,0.8,13934.89157,0.001311983
340,0.01,1000,0.1,1,13940.01049,0.001302381
8,0.001,100,0.5,0.4,13942.03519,0.001298603
