index,a1,intercept,shape,scale,penalty,score
0,0.0033376190853588233,103.98644278261682,0.1,0.2,1619.662105759637,6479053591600970.0
1,0.003082604877113801,93.69968162516349,0.1,0.4,1601.6342331235821,8104629093022196.0
2,0.0033822850578945065,99.48761806106043,0.1,0.6,1600.043084637189,8267352537785395.0
3,0.0031658706174289134,94.8455753707883,0.1,0.8,1569.9832886961456,1.2080903246232924e+16
4,0.0026988028679015507,106.41500113894539,0.1,1,1673.6210513151927,3364010957972473.0
5,0.0017934705706220896,100.90463156254339,0.1,3,1508.6028167403636,2.682265198441205e+16
6,0.00333809874350187,99.10892425150212,0.3,0.2,1590.502443905895,9317795715965990.0
7,0.0028093850657029107,98.72166786089775,0.3,0.4,1563.9468593367344,1.304848691944349e+16
8,0.0028061249114240683,97.88258219885344,0.3,0.6,1478.8166960714293,3.996806255086415e+16
9,0.002425195531431744,103.23949457565418,0.3,0.8,1419.385700442177,9.078027362406854e+16
10,0.0024803781906452757,99.26293095517455,0.3,1,1370.6888756746027,1.8248292673342666e+17
11,0.003806475696542713,120.38621553085565,0.3,3,886.9939203231286,1.1004926299494444e+21
12,0.0027526860688239867,110.45272546888287,1,0.2,1430.1330269897958,7.806768046504374e+16
13,0.0027315915062634047,116.98088757649954,1,0.4,951.6055422675728,2.6968745495707795e+20
14,0.002820743966041283,90.16061765912636,1,0.6,757.26072925737,2.6007061993198046e+22
15,0.003454184922711883,96.83786067784395,1,0.8,771.1274273752833,1.8091600674340204e+22
16,0.0028936886568336263,100.87506818659956,1,1,846.2759313321991,2.8168272382911987e+21
17,0.002798686823352388,101.92764338790165,1,3,1217.2454074092968,1.9608171957976579e+18
18,0.00432494919434939,109.77483923857584,3,0.2,760.8455917743764,2.366297939445597e+22
19,0.0027096567614918496,110.54039533129833,3,0.4,933.6210085657593,3.949914409884613e+20
20,0.0020379295047624583,101.21517437541296,3,0.6,1118.1271941156467,1.0719531314992855e+19
21,0.00354705679569672,94.47770084938023,3,0.8,1229.6509013151924,1.6008968530649884e+18
22,0.0027708051038782887,86.57600497836769,3,1,1282.7194427437641,6.876484182875672e+17
23,0.00339402346102762,79.83118903409188,3,3,1578.0669060430844,1.0901637955977532e+16
24,0.002765269680656755,107.31384135164305,5,0.2,809.3265005498856,6.878991568176374e+21
25,0.002994501476379456,76.96238299667542,5,0.4,961.6001953458052,2.1883114982630425e+20
26,0.0026328954968090727,88.14879595213297,5,0.6,1336.162712363945,3.039576240651349e+17
27,0.0039135048228407885,101.3897017830349,5,0.8,1780.9750499263048,970159838873701.4
28,0.0037148644890381073,99.36302693650654,5,1,1882.3323889965995,320681345579516.56
29,0.003559037085217158,85.80158314709726,5,3,1676.0534314455783,3267704750155221.5
30,0.0031539674789542635,279.30422955694445,0.1,0.2,2446.873407420633,1689545836917.793
31,0.004086637420200438,297.4647281806544,0.1,0.4,2421.034827585032,2089196358384.527
32,0.002854601435692111,318.71400825241574,0.1,0.6,2420.2592893027186,2102626270915.7192
33,0.002554707616620833,337.97339611963247,0.1,0.8,2526.353403537416,891493024052.7446
34,0.0027786276763088254,307.89887095964997,0.1,1,2527.7781785544203,881496904972.5466
35,0.0025820132843798783,314.5643538831039,0.1,3,2794.1306056632643,118868272610.7037
36,0.0033301224452087796,299.8508404593453,0.3,0.2,2422.511403265306,2063875041573.0315
37,0.003402240558210237,322.9106709324608,0.3,0.4,2529.149346099773,871987976716.648
